LABEL	texte
0	"Le Lion s’en allant en guerre Le Lion dans sa tête avait une entreprise : Il tint conseil de guerre, envoya ses prévôts, Fit avertir les animaux. Tous furent du dessein, chacun selon sa guise : L’Éléphant devait sur son dos Porter l’attirail nécessaire, Et combattre à son ordinaire ; L’Ours, s’apprêter pour les assauts ; Le Renard, ménager de secrètes pratiques, Et le Singe, amuser l’ennemi par ses tours. « Renvoyez, dit quelqu’un, les Ânes qui sont lourds, Et les Lièvres, sujets à des terreurs paniques. – Point du tout, dit le roi, je les veux employer : Notre troupe sans eux ne serait pas complète. L’Âne effraiera les gens, nous servant de trompette ; Et le Lièvre pourra nous servir de courrier. » Le monarque prudent et sage De ses moindres sujets sait tirer quelque usage, 35 Et connaît les divers talents. Il n’est rien d’inutile aux personnes de sens. 36 "
1	"Contre ceux qui ont le goût difficile Quand j’aurais en naissant reçu de Calliope Les dons qu’à ses amants cette muse a promis, Je les consacrerais aux mensonges d’Ésope : Le mensonge et les vers de tout temps sont amis. Mais je ne me crois pas si chéri du Parnasse Que de savoir orner toutes ces fictions. On peut donner du lustre à leurs inventions : On le peut, je l’essaie ; un plus savant le fasse. Cependant jusqu’ici d’un langage nouveau J’ai fait parler le Loup et répondre l’Agneau ; J’ai passé plus avant : les arbres et les plantes Sont devenus chez moi créatures parlantes. Qui ne prendrait ceci pour un enchantement ? « Vraiment, me diront nos critiques, Vous parlez magnifiquement De cinq ou six contes d’enfant. » Censeurs, en voulez-vous qui soient plus authentiques Et d’un style plus haut ? En voici : « Les Troyens, « Après dix ans de guerre autour de leurs murailles, 46 « Avaient lassé les Grecs, qui, par mille moyens, « Par mille assauts, par cent batailles, « N’avaient pu mettre à bout cette fière cité ; « Quand un cheval de bois, par Minerve inventé, « D’un rare et nouvel artifice, « Dans ses énormes flancs reçut le sage Ulysse, « Le vaillant Diomède, Ajax l’impétueux, « Que ce colosse monstrueux « Avec leurs escadrons devait porter dans Troie, « Livrant à leur fureur ses dieux mêmes en proie : « Stratagème inouï, qui des fabricateurs « Paya la constance et la peine. » « C’est assez, me dira quelqu’un de nos auteurs : La période est longue, il faut reprendre haleine ; Et puis votre cheval de bois, Vos héros avec leurs phalanges, Ce sont des contes plus étranges Qu’un Renard qui cajole un corbeau sur sa voix : De plus il vous sied mal d’écrire en si haut style. » Eh bien ! baissons d’un ton. « La jalouse Amaryle « Songeait à son Alcippe, et croyait de ses soins 47 « N’avoir que ses moutons et son chien pour témoins. « Tircis, qui l’aperçut, se glisse entre des saules ; « Il entend la bergère adressant ces paroles « Au doux zéphyr, et le priant « De les porter à son amant... » Je vous arrête à cette rime, Dira mon censeur à l’instant, Je ne la tiens pas légitime, Ni d’une assez grande vertu ; Remettez, pour le mieux, ces deux vers à la fonte. « Maudit censeur ! te tairas-tu ? Ne saurai-je achever mon conte ? C’est un dessein très dangereux Que d’entreprendre de te plaire. » Les délicats sont malheureux : Rien ne saurait les satisfaire. 48 "
0	"L’Hirondelle et les petits Oiseaux Une hirondelle en ses voyages Avait beaucoup appris. Quiconque a beaucoup vu Peut avoir beaucoup retenu. Celle-ci prévoyait jusqu’aux moindres orages, Et, devant qu’ils ne fussent éclos, Les annonçait aux matelots. Il arriva qu’au temps que le chanvre se sème, Elle vit un manant en couvrir maints sillons. « Ceci ne me plaît pas, dit-elle aux oisillons : Je vous plains, car pour moi, dans ce péril extrême, Je saurai m’éloigner, ou vivre en quelque coin. Voyez-vous cette main qui par les airs chemine ? Un jour viendra, qui n’est pas loin, Que ce qu’elle répand sera votre ruine. De là naîtront engins à vous envelopper, Et lacets pour vous attraper, Enfin, mainte et mainte machine Qui causera dans la saison Votre mort ou votre prison : 15 Gare la cage ou le chaudron ! C’est pourquoi, leur dit l’Hirondelle, Mangez ce grain et croyez-moi. » Les oiseaux se moquèrent d’elle : Ils trouvaient aux champs trop de quoi. Quand la chènevière fut verte, L’Hirondelle leur dit : « Arrachez brin à brin Ce qu’a produit ce mauvais grain, Ou soyez sûrs de votre perte. – Prophète de malheur, babillarde, dit-on, Le bel emploi que tu nous donnes ! Il nous faudrait mille personnes Pour éplucher tout ce canton. » La chanvre étant tout à fait crue, L’Hirondelle ajouta : « Ceci ne va pas bien ; Mauvaise graine est tôt venue. Mais puisque jusqu’ici l’on ne m’a crue en rien, Dès que vous verrez que la terre Sera couverte, et qu’à leurs blés Les gens n’étant plus occupés Feront aux oisillons la guerre ; 16 Quand reginglettes et réseaux Attraperont petits oiseaux, Ne volez plus de place en place, Demeurez au logis ou changez de climat : Imitez le Canard, la Grue ou la Bécasse. Mais vous n’êtes pas en état De passer, comme nous, les déserts et les ondes, Ni d’aller chercher d’autres mondes ; C’est pourquoi vous n’avez qu’un parti qui soit sûr, C’est de vous enfermer aux trous de quelque mur. » Les oisillons, las de l’entendre, Se mirent à jaser aussi confusément Que faisaient les Troyens quand la pauvre Cassandre Ouvrait la bouche seulement. Il en prit aux uns comme aux autres : Maint oisillon se vit esclave retenu. Nous n’écoutons d’instincts que ceux qui sont les nôtres Et ne croyons le mal que quand il est venu. 17 "
1	"L’avantage de la science Entre deux bourgeois d’une ville S’émut jadis un différend : L’un était pauvre, mais habile ; L’autre, riche, mais ignorant. Celui-ci sur son concurrent Voulait emporter l’avantage ; Prétendait que tout homme sage Était tenu de l’honorer. C’était tout homme sot ; car pourquoi révérer Des biens dépourvus de mérite ? La raison m’en semble petite. « Mon ami, disait-il souvent Au savant, Vous vous croyez considérable ; Mais, dites-moi, tenez-vous table ? Que sert à vos pareils de lire incessamment ? Ils sont toujours logés à la troisième chambre, Vêtus au mois de juin comme au mois de décembre, Ayant pour tout laquais leur ombre seulement. 182 La République a bien affaire De gens qui ne dépensent rien ! Je ne sais d’homme nécessaire Que celui dont le luxe épand beaucoup de bien. Nous en usons, Dieu sait ! notre plaisir occupe L’artisan, le vendeur, celui qui fait la jupe, Et celle qui la porte, et vous, qui dédiez À messieurs les gens de finance De méchants livres bien payés. » Ces mots remplis d’impertinence Eurent le sort qu’ils méritaient. L’homme lettré se tut, il avait trop à dire. La guerre le vengea bien mieux qu’une satire. Mars détruisit le lieu que nos gens habitaient : L’un et l’autre quitta sa ville. L’ignorant resta sans asile ; Il reçut partout des mépris : L’autre reçut partout quelque faveur nouvelle : Cela décida leur querelle. Laissez dire les sots ; le savoir a son prix. 183 "
0	"Le Serpent et la Lime On conte qu’un Serpent, voisin d’un horloger (C’était pour l’horloger un mauvais voisinage), Entra dans sa boutique, et, cherchant à manger, N’y rencontra pour tout potage Qu’une Lime d’acier qu’il se mit à ronger. Cette Lime lui dit, sans se mettre en colère : « Pauvre ignorant ! eh ! que prétends-tu faire ? Tu te prends à plus dur que toi. Petit serpent à tête folle : Plutôt que d’emporter de moi Seulement le quart d’une obole, Tu te romprais toutes les dents. Je ne crains que celles du temps. » Ceci s’adresse à vous, esprits du dernier ordre, Qui, n’étant bons à rien, cherchez sur tout à mordre. Vous vous tourmentez vainement. Croyez-vous que vos dents impriment leurs outrages Sur tant de beaux ouvrages ? Ils sont pour vous d’airain, d’acier, de diamant. 30 "
1	"L’Horoscope On rencontre sa destinée Souvent par des chemins qu’on prend pour l’éviter. Un père eut pour toute lignée Un fils qu’il aima trop, jusque à consulter Sur le sort de sa géniture Les diseurs de bonne aventure. Un de ces gens lui dit que des lions surtout Il éloignât l’enfant jusque à certain âge ; Jusqu’à vingt ans, point davantage. Le père, pour venir a bout D’une précaution sur qui roulait la vie De celui qu’il aimait, défendit que jamais On lui laissât passer le seuil de son palais. Il pouvait, sans sortir, contenter son envie, Avec ses compagnons tout le jour badiner, Sauter, courir, se promener. Quand il fut en l’âge où la chasse Plaît le plus aux jeunes esprits, 172 Cet exercice avec mépris Lui fut dépeint : mais, quoi qu’on fasse, Propos, conseil, enseignement, Rien ne change un tempérament. Le jeune homme, inquiet, ardent, plein de courage, À peine se sentit des bouillons d’un tel âge, Qu’il soupira pour ce plaisir. Plus l’obstacle était grand, plus fort fut le désir. Il savait le sujet des fatales défenses, Et comme ce logis, plein de magnificences, Abondait partout en tableaux, Et que la laine et les pinceaux Traçaient de tous côtés chasses et paysages, En cet endroit des animaux, En ce autre des personnages, Le jeune homme s’émut, voyant peint un lion : « Ah ! monstre, cria-t-il, c’est toi qui me fais vivre Dans l’ombre et dans les fers ! » À ces mots, il se livre Aux transports violents de l’indignation, Porte le poing sur l’innocente bête. Sous la tapisserie un clou se rencontra : 173 Ce clou le blesse, il pénétra Jusqu’aux ressorts de l’âme ; et cette chère tête Pour qui l’art d’Esculape en vain fit ce qu’il put, Dut sa perte à ces soins qu’on prit pour son salut. Même précaution nuisit au poète Eschyle. Quelque devin le menaça, dit-on, De la chute d’une maison. Aussitôt il quitta la ville, Mit son lit en plein champ, loin des toits, sous les cieux. Un aigle, qui portait en l’air une tortue, Passa par là, vit l’homme, et sur sa tête nue, Qui parut un morceau de rocher à ses yeux, Étant de cheveux dépourvue, Laissa tomber sa proie, afin de la casser : Le pauvre Eschyle ainsi sut ses jours avancer. De ces exemples il résulte Que cet art, s’il est vrai, fait tomber dans les maux Que craint celui qui le consulte ; Mais je l’en justifie, et maintiens qu’il est faux. 174 Je ne crois point que la Nature Se soit lié les mains, et nous les lie encore, Jusqu’au point de marquer dans les cieux notre sort : Il dépend d’une conjoncture De lieux, de personnes, de temps ; Non des conjonctions de tous ces charlatans. Ce berger et ce roi sont sous même planète ; L’un d’eux porte le sceptre, et l’autre la houlette. Jupiter le voulait ainsi. Qu’est-ce que Jupiter ? un corps sans connaissance. D’où vient donc que son influence Agit différemment sur ces deux hommes-ci ? Puis comment pénétrer jusque à notre monde ? Comment percer des airs la campagne profonde ? Percer Mars, le Soleil, et des vides sans fin ? Un atome la peut détourner en chemin : Où l’iront retrouver les faiseurs d’horoscope ? L’état où nous voyons l’Europe Mérite que du moins quelqu’un d’eux l’ait prévu : Que ne l’a-t-il donc dit ? Mais nul d’eux ne l’a su. L’immense éloignement, le point, et sa vitesse, 175 Celle aussi de nos passions, Permettent-ils à leur faiblesse De suivre pas à pas toutes nos actions ? Notre sort en dépend : sa course entre-suivie, Ne va, non plus que nous, jamais d’un même pas, Et ces gens veulent au compas, Tracer les cours de notre vie ! Il ne se faut point arrêter Aux deux faits ambigus que je viens de conter. Ce fils par trop chéri, ni le bonhomme Eschyle, N’y font rien : tout aveugle et menteur qu’est cet art, Il peut frapper au but une fois entre mille ; Ce sont des effets du hasard. 176 "
0	"Le Chêne et le Roseau Le Chêne un jour dit au Roseau : « Vous avez bien sujet d’accuser la Nature ; Un roitelet pour vous est un pesant fardeau ; Le moindre vent qui d’aventure Fait rider la face de l’eau, Vous oblige à baisser la tête ; Cependant que mon front, au Caucase pareil, Non content d’arrêter les rayons du soleil, Brave l’effort de la tempête. Tout vous est aquilon, tout me semble zéphyr. Encor si vous naissiez à l’abri du feuillage Dont je couvre le voisinage, Vous n’auriez pas tant à souffrir ; Je vous défendrais de l’orage ; Mais vous naissez le plus souvent Sur les humides bords des royaumes du vent. La Nature envers vous me semble bien injuste. – Votre compassion, lui répondit l’Arbuste, Part d’un bon naturel ; mais quittez ce souci : 43 Les vents me sont moins qu’à vous redoutables ; Je plie, et ne romps pas. Vous avez jusqu’ici Contre leurs coups épouvantables Résisté sans courber le dos ; Mais attendons la fin. » Comme il disait ces mots, Du bout de l’horizon accourt avec furie Le plus terrible des enfants Que le nord eût portés jusque là dans ses flancs. L’Arbre tient bon ; le Roseau plie. Le vent redouble ses efforts, Et fait si bien qu’il déracine Celui de qui la tête au ciel était voisine, Et dont les pieds touchaient à l’empire des morts. 44 "
0	"Le Cerf et la Vigne Un Cerf, à la faveur d’une vigne fort haute, Et telle qu’on en voit en de certains climats, S’étant mis à couvert et sauvé du trépas, Les veneurs, pour ce coup, croyaient leurs chiens en faute ; Ils les rappellent donc. Le Cerf, hors de danger, Broute sa bienfaitrice : ingratitude extrême ! On l’entend, on retourne, on le fait déloger : Il vient mourir en ce lieu même. « J’ai mérité, dit-il, ce juste châtiment : Profitez-en, ingrats. » Il tombe en ce moment. La meute en fait curée : il lui fut inutile De pleurer aux veneurs à sa mort arrivés. Vraie image de ceux qui profanent l’asile Qui les a conservés. 29 "
1	"L’Avare qui a perdu son trésor L’usage seulement fait la possession. Je demande à ces gens de qui la passion Est d’entasser toujours, mettre somme sur somme, Quel avantage ils ont que n’ait pas un autre homme. Diogène là-bas est aussi riche qu’eux, Et l’avare ici-haut comme lui vit en gueux. L’homme au trésor caché qu’Ésope nous propose, Servira d’exemple à la chose. Ce malheureux attendait ; Pour jouir de son bien, une seconde vie ; Ne possédait pas l’or, mais l’or le possédait. Il avait dans la terre une somme enfouie, Son cœur avec, n’ayant autre déduit Que d’y ruminer jour et nuit, Et rendre sa chevance à lui-même sacrée. Qu’il allât ou qu’il vînt, qu’il bût ou qu’il mangeât, On l’eût pris de bien court, à moins qu’il ne songeât À l’endroit où gisait cette somme enterrée. Il y fit tant de tours qu’un fossoyeur le vit, 170 Se douta du dépôt, l’enleva sans rien dire. Notre Avare un beau jour ne trouva que le nid. Voilà mon homme aux pleurs ; il gémit, il soupire. Il se tourmente, il se déchire. Un passant lui demande à quel sujet ses cris. « C’est mon Trésor que l’on m’a pris. – Votre trésor ? où pris ? – Tout joignant cette pierre. – Eh ! sommes-nous en temps de guerre, Pour l’apporter si loin ? N’eussiez-vous pas mieux fait De le laisser chez vous en votre cabinet, Que de le changer de demeure ? Vous auriez pu sans peine y puiser à toute heure. – À toute heure, bons Dieux ! ne tient-il qu’à cela ? L’argent vient-il comme il s’en va ? Je n’y touchais jamais. – Dites-moi donc, de grâce, Reprit l’autre, pourquoi vous vous affligez tant, Puisque vous ne touchiez jamais à cet argent : Mettez une pierre à la place, Elle vous vaudra tout autant. » 171 "
1	"Le Cygne et le Cuisinier Dans une ménagerie De volatiles remplie Vivaient le Cygne et l’Oison : Celui-là destiné pour les regards du maître ; Celui-ci, pour son goût : l’un qui se piquait d’être Commensal du jardin, l’autre, de la maison. Des fossés du château faisant leurs galeries, Tantôt on les eût vus côte à côte nager, Tantôt courir sur l’onde, et tantôt se plonger, Sans pouvoir satisfaire à leurs vaines envies. Un jour le Cuisinier, ayant trop bu d’un coup, Prit pour oison le Cygne ; et le tenant au cou, Il allait l’égorger, puis le mettre en potage. L’oiseau, prêt à mourir, se plaint en son ramage. Le Cuisinier fut fort surpris, Et vit bien qu’il s’était mépris. « Quoi ? je mettrais, dit-il, un tel chanteur en soupe ! Non, non, ne plaise aux Dieux que jamais ma main coupe 113 La gorge à qui s’en sert si bien ! » Ainsi dans les dangers qui nous suivent en croupe Le doux parler ne nuit de rien. 114 "
